well_code;field_prefix;n_rows;rho_implied_ozna_kg_m3;rho_pvt_degassed_kg_m3;delta_pct
Vt_9407;Vt;302;817.0;808.1644;1.09
Vt_9408;Vt;221;811.0;808.1644;0.35
Vt_9501;Vt;241;820.0;808.1644;1.46
Vt_9502;Vt;341;814.0;808.1644;0.72
Vt_9503;Vt;181;810.0;808.1644;0.23
Ya_101;Ya;462;840.0;825.9921;1.7
Ya_104;Ya;242;804.0;825.9921;-2.66
Ya_170;Ya;121;830.0;825.9921;0.49
Ya_208;Ya;61;829.0;825.9921;0.36
Ya_224;Ya;1450;836.0;825.9921;1.21
Ya_231;Ya;201;830.0;825.9921;0.49
Ya_236;Ya;121;836.0;825.9921;1.21
Ya_289;Ya;121;830.0;825.9921;0.49
Ya_329;Ya;934;818.0;825.9921;-0.97
Ya_371;Ya;121;842.0;825.9921;1.94
Ya_408;Ya;121;834.0;825.9921;0.97
Ya_410;Ya;1085;845.0;825.9921;2.3
Ya_416;Ya;3644;795.0;825.9921;-3.75
Ya_418;Ya;181;820.0;825.9921;-0.73
Ya_425;Ya;241;822.0;825.9921;-0.48
Ya_462;Ya;1213;830.0;825.9921;0.49
Ya_467;Ya;182;820.0;825.9921;-0.73
Ya_511;Ya;302;805.0;825.9921;-2.54
Ya_552;Ya;1917;846.0;825.9921;2.42
Ya_568;Ya;361;838.0;825.9921;1.45
Ya_587;Ya;121;830.0;825.9921;0.49
Ya_600;Ya;121;840.0;825.9921;1.7
Ya_631;Ya;121;842.0;825.9921;1.94
Ya_682;Ya;121;838.0;825.9921;1.45
Ya_746;Ya;2088;838.0;825.9921;1.45
Ya_755;Ya;297;836.0;825.9921;1.21
Ya_756;Ya;481;830.0;825.9921;0.49
Ya_759;Ya;603;816.0;825.9921;-1.21
Ya_760;Ya;859;830.0;825.9921;0.49
Ya_795;Ya;3738;826.0;825.9921;0.0
Ya_807;Ya;1533;819.0;825.9921;-0.85
Ya_821;Ya;1328;808.0;825.9921;-2.18
Ya_928;Ya;2996;830.0;825.9921;0.49
Ya_947;Ya;4079;805.0;825.9921;-2.54
Ya_949;Ya;4777;810.0;825.9921;-1.94
Ya_951;Ya;242;837.0;825.9921;1.33
Ya_955;Ya;4213;834.0;825.9921;0.97
Ya_956;Ya;423;851.0;825.9921;3.03
Za_380;Za;241;820.0;825.9921;-0.73
Za_381;Za;664;820.0;825.9921;-0.73
Za_382;Za;1201;820.0;825.9921;-0.73
Za_383;Za;725;825.0;825.9921;-0.12
Za_387;Za;889;820.0;825.9921;-0.73
Za_388;Za;1574;820.0;825.9921;-0.73
Za_389;Za;2286;820.0;825.9921;-0.73
